Name,Spin_rat,CorrIE_OS,CorrIE_SS,CorrIE_SRS,IE_HF,IE_SRSMP2
01a-water,0.2581091397677296,-0.0005795916665905676,-0.0038786417232544675,-0.004458233389845035,-0.011757733850004115,-0.016215967239849152
01b-water,0.363842562829286,-0.000814855363378762,-0.003868369425751951,-0.004683224789130713,-0.002746114607376171,-0.007429339396506885
01c-water,0.3836516851931445,-0.001091531097483741,-0.00491428024017298,-0.006005811337656721,-0.01760441280134728,-0.023610224139004
02a-formaldehyde,-4.588313892883897,0.0008016316761244925,-0.00030177458731304725,0.0004998570888114452,-0.0068132218139851375,-0.006313364725173693
02b-formaldehyde,0.5991940993142354,-0.0008381306079785434,-0.002416045389483451,-0.0032541759974619943,0.000268100187142295,-0.0029860758103196993
02c-formaldehyde,-0.22556835374720385,0.0002474121465608159,-0.001894539930142118,-0.0016471277835813022,-0.006637939745544941,-0.008285067529126243
03a-methanol_ethyne,0.4399478811469369,-0.0015249421235813143,-0.005987052225060363,-0.007511994348641677,-0.009220963767575086,-0.016732958116216765
03b-methanol_ethyne,0.9159627382613642,-0.000951519869844908,-0.0017943244326301755,-0.0027458443024750835,-0.0007981363610980452,-0.0035439806635731287
03c-methanol_ethyne,0.5900114546339909,-0.0013330028082012247,-0.003902397788890805,-0.00523540059709203,-0.002251153330362854,-0.007486553927454884
04a-acetonitrile,0.7272491228606288,-0.001861265379950563,-0.004420648754253126,-0.006281914134203689,-0.0048402803838030195,-0.011122194518006709
04b-acetonitrile,0.9119637138380119,-0.0017557259055453768,-0.0033253707655230367,-0.005081096671068414,-0.00033484147778040096,-0.005415938148848815
04c-acetonitrile,0.7356178101492299,-0.0009403976937996084,-0.002208107616318747,-0.0031485053101183553,-0.00347103139293381,-0.006619536703052166
05a-nitromethane,0.5436883917441637,-0.0012533219015812525,-0.00398174537468066,-0.005235067276261912,-0.0036875381625236514,-0.008922605438785564
05b-nitromethane,0.5249454356482259,-0.0013228074024071868,-0.004352545987548173,-0.00567535338995536,-0.004948349750662828,-0.010623703140618189
05c-nitromethane,0.8474903626250984,-0.001673213758792036,-0.0034101821329353024,-0.005083395891727339,0.00038416013586584086,-0.004699235755861498
06a-acetic_acid,0.26256870809121763,-0.0007231449974702243,-0.00475711154262941,-0.0054802565400996345,-0.012028156950066204,-0.01750841349016584
06b-acetic_acid,0.015698945551909156,-5.7228262766981786e-05,-0.006296525915053182,-0.0063537541778201645,-0.025655669965374273,-0.03200942414319444
06c-acetic_acid,0.4353004826797005,-0.001578937495748012,-0.0062652254775480845,-0.007844162973296097,-0.011956455944641675,-0.01980061891793777
07a-oxalic_acid,0.7012952817324205,-0.0020826152160134904,-0.005129429154488211,-0.007212044370501701,-0.0009217719264711377,-0.008133816296972839
07b-oxalic_acid,0.3613281996318077,-0.0012790219992594599,-0.006114163852015677,-0.007393185851275137,-0.020019508612506343,-0.02741269446378148
07c-oxalic_acid,0.37269280942908944,-0.0013364268293444349,-0.006193770193361911,-0.007530197022706346,-0.018878369479409685,-0.02640856650211603
08a-vinylene_carbonate,0.41287336286979426,-0.0007253004129440477,-0.003034324165768444,-0.0037596245787124916,-0.009330702001761892,-0.013090326580474383
08b-vinylene_carbonate,0.7640589812270152,-0.0022114616255591016,-0.004999348803025875,-0.007210810428584976,-0.005891651018032462,-0.01310246144661744
08c-vinylene_carbonate,0.38596446228281883,-0.0010122012266048008,-0.004529814902868848,-0.005542016129473649,-0.013357179054764856,-0.018899195184238507
09a-acetamide,0.4349316844263233,-0.0017049573885827374,-0.006771009112259692,-0.00847596650084243,-0.018977980317117726,-0.027453946817960158
09b-acetamide,0.36372567332156786,-0.001160343840924032,-0.005510279910637584,-0.006670623751561616,-0.015449222173742783,-0.0221198459253044
09c-acetamide,0.40627312217154954,-0.0014080531777493155,-0.005986346917257143,-0.007394400095006458,-0.016922778794963733,-0.02431717888997019
10a-imidazole,0.8403044021652322,-0.0045087077427740764,-0.009267793789096089,-0.013776501531870166,-0.011255812182326963,-0.025032313714197126
10b-imidazole,0.9957993897819989,-0.0034150046514644307,-0.005923526825292945,-0.009338531476757376,0.001020935333201578,-0.008317596143555797
10c-imidazole,0.6730654459189059,-0.003117995408098777,-0.008001641541437116,-0.011119636949535893,-0.023424463954512476,-0.034544100904048365
11a-isoxazole,0.5699791029102209,-0.0037867422500098514,-0.011475397221156772,-0.015262139471166624,-0.022251473364804042,-0.03751361283597067
11b-isoxazole,0.4031913924288298,-0.0020232003309142346,-0.008667394242584616,-0.01069059457349885,-0.023727831742007766,-0.034418426315506616
11c-isoxazole,0.18825861155345341,-0.0007546332241367226,-0.0069237596962471466,-0.007678392920383869,-0.027114378132012007,-0.03479277105239588
12a-pyrazole,0.7864621872880411,-0.004937751886173292,-0.010844569904163635,-0.015782321790336926,-0.014267626995007276,-0.030049948785344203
12b-pyrazole,1.0169398034013015,-0.010838830680160715,0,-0.010838830680160715,0.005670222763427546,-0.005168607916733169
12c-pyrazole,0.7688008476746954,-0.0032096314208839116,-0.007211111739351516,-0.010420743160235427,-0.008899897298846327,-0.019320640459081755
13a-triazine,0.9806321645433929,-0.004505626051448912,-0.007936151065961532,-0.012441777117410444,0.0015512499251144618,-0.010890527192295982
13b-triazine,0.805971735085232,-0.002057682282811695,-0.004409805373779108,-0.006467487656590803,-0.002535658391650486,-0.00900314604824129
13c-triazine,0.9358093778795863,-0.003621080067239926,-0.006683618471089115,-0.010304698538329042,0.00032542298401949665,-0.009979275554309545
14a-cyanoacetamide,0.869359653287469,-0.004692746650341218,-0.009323705412924831,-0.014016452063266049,-0.0005190195403201869,-0.014535471603586236
14b-cyanoacetamide,0.5145117717405396,-0.002567751631990911,-0.008620225246439149,-0.01118797687843006,-0.023614583130267874,-0.034802560008697934
14c-cyanoacetamide,0.4084722806980876,-0.0016137177448937346,-0.0068237938826776435,-0.008437511627571379,-0.0239512905986885,-0.03238880222625988
15a-cyanoguanidine,0.44493527208020034,-0.0022186046073010804,-0.008612792626838598,-0.010831397234139678,-0.04406025547939407,-0.05489165271353375
15b-cyanoguanidine,0.7683881953098661,-0.004187467808757611,-0.009413079204688606,-0.013600547013446217,-0.0202449507920619,-0.033845497805508114
15c-cyanoguanidine,0.7748669923897057,-0.002532942639018836,-0.005646237074353366,-0.008179179713372202,-0.0065367195186354365,-0.014715899232007638
16a-triazolidinedione,1.0908737389808274,-0.021187508201886657,0,-0.021187508201886657,0.019193838961882648,-0.0019936692400040097
16b-triazolidinedione,0.3930608218614822,-0.002328302975935164,-0.010231531629417865,-0.012559834605353029,-0.02780277757716476,-0.04036261218251779
16c-triazolidinedione,0.9623501685914405,-0.006337322948035489,-0.011374534394359806,-0.017711857342395294,0.011122899127997243,-0.006588958214398051
17a-oxazolidinone,0.532359715465879,-0.0018422663423533893,-0.005977342607027978,-0.007819608949381367,-0.011996358430565124,-0.01981596737994649
17b-oxazolidinone,0.6808142002802599,-0.003033239724075556,-0.007695539030353964,-0.01072877875442952,-0.012944996329906644,-0.023673775084336164
17c-oxazolidinone,0.8005494346911968,-0.0028088956825691237,-0.006060498822445937,-0.00886939450501506,-0.0062465917367831025,-0.015115986241798163
18a-succinic_anhydride,0.535001957047841,-0.0018580161231716331,-0.005998670722807063,-0.007856686845978695,-0.00951499147515733,-0.017371678321136026
18b-succinic_anhydride,-0.19238771818796244,0.0002178723175326569,-0.001956075552256372,-0.001738203234723715,-0.00965623252648129,-0.011394435761205005
18c-succinic_anhydride,0.4507476404404169,-0.0011047394993144554,-0.004233380802708882,-0.005338120302023338,-0.010509493186418695,-0.015847613488442033
19a-benzene,0.9904772898675577,-0.00491549952707842,-0.008572037300501703,-0.013487536827580124,0.005145842040377602,-0.008341694787202522
19b-benzene,0.9971873215662532,-0.0049579269680662535,-0.008587846887483543,-0.013545773855549796,0.005442044781716504,-0.008103729073833292
19c-benzene,0.9809326132660425,-0.0048328836495449504,-0.008509971030677988,-0.013342854680222938,0.004559974536107347,-0.00878288014411559
20a-maleic_acid,0.6228648836508426,-0.0032764994391563376,-0.009086092779877448,-0.012362592219033786,-0.011242802355752701,-0.023605394574786488
20b-maleic_acid,0.24363135778295314,-0.0009028198164019985,-0.006400719762444533,-0.007303539578846531,-0.029449310258655714,-0.036752849837502245
20c-maleic_acid,1.1040252793065934,-0.01999168645092755,0,-0.01999168645092755,0.021021569733193246,0.0010298832822656957
21a-p-benzoquinone,0.837180916379048,-0.004950680096358884,-0.010214249446676262,-0.015164929543035145,-0.001581404331716385,-0.01674633387475153
21b-p-benzoquinone,0.3475046316055758,-0.0008804769443732319,-0.004376413073925509,-0.005256890018298741,-0.0077625380355357265,-0.013019428053834468
21c-p-benzoquinone,0.9018860587627097,-0.004045480718933088,-0.007747817417321083,-0.011793298136254172,0.0014097889846311773,-0.010383509151622995
22a-uracil,0.03772018714476045,-0.00014324321928254501,-0.006559355209027771,-0.006702598428310316,-0.027468504586067866,-0.03417110301437818
22b-uracil,1.218450158767771,-0.02614030408796296,0,-0.02614030408796296,0.023594433733023834,-0.0025458703549391254
22c-uracil,1.0472136478886747,-0.012157644848235546,0,-0.012157644848235546,0.006625145738041738,-0.005532499110193809
23a-cyclobutylfuran,1.008893555159144,-0.017095941646040478,0,-0.017095941646040478,0.007126009587238968,-0.00996993205880151
23b-cyclobutylfuran,0.9246732939676989,-0.003534217893987237,-0.0066018541038740716,-0.01013607199786131,0.002755428184741504,-0.007380643813119805
23c-cyclobutylfuran,0.9784364876382775,-0.005615237151624473,-0.009912800791578028,-0.0155280379432025,0.005361936967403835,-0.010166100975798665
