Name,IE_CP
01a-water_WB97M-V.out,-0.017907936722494355
01b-water_WB97M-V.out,-0.009388724586543162
01c-water_WB97M-V.out,-0.02607736634718094
02a-formaldehyde_WB97M-V.out,-0.007189412895669989
02b-formaldehyde_WB97M-V.out,-0.004616134356069779
02c-formaldehyde_WB97M-V.out,-0.010297663511323663
03a-methanol_ethyne_WB97M-V.out,-0.018399274520504605
03b-methanol_ethyne_WB97M-V.out,-0.004328806556074483
03c-methanol_ethyne_WB97M-V.out,-0.008721314404581904
04a-acetonitrile_WB97M-V.out,-0.012822759009083029
04b-acetonitrile_WB97M-V.out,-0.006278477749731337
04c-acetonitrile_WB97M-V.out,-0.007473119343245571
05a-nitromethane_WB97M-V.out,-0.011875290509664183
05b-nitromethane_WB97M-V.out,-0.013943143643729172
05c-nitromethane_WB97M-V.out,-0.006670929465627751
06a-acetic_acid_WB97M-V.out,-0.020834738989577772
06b-acetic_acid_WB97M-V.out,-0.036039385693896975
06c-acetic_acid_WB97M-V.out,-0.024103383433697445
07a-oxalic_acid_WB97M-V.out,-0.0127399733237894
07b-oxalic_acid_WB97M-V.out,-0.03115058794350034
07c-oxalic_acid_WB97M-V.out,-0.030343686119692848
08a-vinylene_carbonate_WB97M-V.out,-0.014920614994252901
08b-vinylene_carbonate_WB97M-V.out,-0.015628848458050015
08c-vinylene_carbonate_WB97M-V.out,-0.021020791294404262
09a-acetamide_WB97M-V.out,-0.031576557236604685
09b-acetamide_WB97M-V.out,-0.02525251717392507
09c-acetamide_WB97M-V.out,-0.027589668928214905
10a-imidazole_WB97M-V.out,-0.025572524551819242
10b-imidazole_WB97M-V.out,-0.00919127645695994
10c-imidazole_WB97M-V.out,-0.03413975945414904
11a-isoxazole_WB97M-V.out,-0.04155522948701673
11b-isoxazole_WB97M-V.out,-0.03768322346115838
11c-isoxazole_WB97M-V.out,-0.03791984196305975
12a-pyrazole_WB97M-V.out,-0.029873151740446247
12b-pyrazole_WB97M-V.out,-0.007273213450332605
12c-pyrazole_WB97M-V.out,-0.019607443636544986
13a-triazine_WB97M-V.out,-0.011768679581678043
13b-triazine_WB97M-V.out,-0.010260306599263913
13c-triazine_WB97M-V.out,-0.011037964626837038
14a-cyanoacetamide_WB97M-V.out,-0.018072475841790947
14b-cyanoacetamide_WB97M-V.out,-0.03925778228784793
14c-cyanoacetamide_WB97M-V.out,-0.03571485718612166
15a-cyanoguanidine_WB97M-V.out,-0.05788184702385024
15b-cyanoguanidine_WB97M-V.out,-0.03793302005936994
15c-cyanoguanidine_WB97M-V.out,-0.017789479056432356
16a-triazolidinedione_WB97M-V.out,-0.0068452880773293145
16b-triazolidinedione_WB97M-V.out,-0.04377778850835057
16c-triazolidinedione_WB97M-V.out,-0.010211620357438278
17a-oxazolidinone_WB97M-V.out,-0.022501512875066965
17b-oxazolidinone_WB97M-V.out,-0.027333426367192715
17c-oxazolidinone_WB97M-V.out,-0.018066351974084682
18a-succinic_anhydride_WB97M-V.out,-0.021389258160752433
18b-succinic_anhydride_WB97M-V.out,-0.013659413203583881
18c-succinic_anhydride_WB97M-V.out,-0.018724506901264704
19a-benzene_WB97M-V.out,-0.00886735062022126
19b-benzene_WB97M-V.out,-0.00858296921799706
19c-benzene_WB97M-V.out,-0.009353736609682528
20a-maleic_acid_WB97M-V.out,-0.028423622600485032
20b-maleic_acid_WB97M-V.out,-0.03946071723822797
20c-maleic_acid_WB97M-V.out,-0.003605523739736327
21a-p-benzoquinone_WB97M-V.out,-0.019520219936850935
21b-p-benzoquinone_WB97M-V.out,-0.014749551584372966
21c-p-benzoquinone_WB97M-V.out,-0.012183012039201913
22a-uracil_WB97M-V.out,-0.0378482001459588
22b-uracil_WB97M-V.out,-0.0035977344153366175
22c-uracil_WB97M-V.out,-0.007893224734459636
23a-cyclobutylfuran_WB97M-V.out,-0.012920019074840638
23b-cyclobutylfuran_WB97M-V.out,-0.008699108975406489
23c-cyclobutylfuran_WB97M-V.out,-0.011776460431178748
