Name,Spin_rat,CorrIE_OS,CorrIE_SS,CorrIE_SRS,IE_HF,IE_SRSMP2
adanine-thymine2,1.8893280497078324,5.2602676666513304e-05,2.7842002702838098e-05,8.626838973308181e-05,-7.774112531155378e-05,8.52726442152803e-06
ammonia-trimer,-0.541776307915223,2.4761163405967457e-05,-4.570366596732406e-05,-3.57598113548109e-05,-0.0019026918499043825,-0.0019384516612591936
benzene-HCN2,3.947687474741911,0.00037554347108992303,9.51299902772762e-05,0.0006158912925874737,-0.0018301275052780876,-0.0012142362126906139
benzene-T,2.7344242164640455,-6.111609072290136e-05,-2.2350625171807526e-05,-0.00010023038878555823,0.00022088715916812748,0.00012065677038256925
benzene-ammonia2,-2.679499210185556,-3.9639907014055176e-06,1.4793774472249277e-06,-9.297435730912241e-07,5.282341122231076e-05,5.189366764921953e-05
benzene-methane2,0.628749615130035,2.8797301648286755e-06,4.580090540863557e-06,7.121925125371381e-06,1.803470996494024e-05,2.515663509031162e-05
benzene-sandwich,0.0875253095437889,1.1786701368254882e-06,1.3466620603447277e-05,1.6129869778234717e-05,6.769955682390439e-05,8.38294266021391e-05
benzene-water2,-1.531881804800052,-1.5340618338854917e-05,1.0014231052804523e-05,1.2914152965529097e-06,0.00023247287663426296,0.00023376429193081586
benzene2-HCN,5.63096275514651,7.499050271975172e-06,1.3317527744471924e-06,1.229844244603928e-05,-4.160094403505976e-05,-2.930250158902048e-05
benzene2-ammonia,-0.16680964022621864,-3.4034343411315504e-06,2.0403103420857382e-05,2.101327123463059e-05,0.00020388643449561754,0.00022489970573024814
benzene2-methane,-26.35602091713855,1.3854717869854483e-05,-5.256756288596343e-07,8.544843577203976e-06,-8.320695971474103e-05,-7.466211613753706e-05
benzene2-water,0.8692282449921149,3.584408018986185e-05,4.123667218175475e-05,7.066689921250924e-05,6.756019682709164e-05,0.00013822709603960088
ethene-ethyne2,-1.0351285328043038,-1.592457086380117e-05,1.5384148305389034e-05,7.0277122980347275e-06,0.00014335554753625498,0.00015038325983428972
ethene-trimer,3.284471552097398,1.6793864922037827e-06,5.113110177895619e-07,2.7541938472142033e-06,-5.817178192828685e-06,-3.0629843456144818e-06
ethene2-ethyne,6.17129428090879,-3.0100788196429917e-05,-4.87754866747292e-06,-4.936529264214506e-05,0.00012567666711394424,7.631137447179919e-05
formamide-trimer,2.3817108179143327,-0.00011875019125545672,-4.985919800265526e-05,-0.000194750313658949,-0.0022803151678788846,-0.0024750654815378337
formicacid-trimer,-2.059099924271994,-6.901916437213051e-05,3.3519094221001744e-05,-7.340881073664156e-06,4.839588528924303e-05,4.1055004215578874e-05
indole-benzene2-S,3.044120842045581,0.00026994055448748,8.867603110856992e-05,0.00044270250935946715,-0.001302537826392032,-0.0008598353170325648
indole-benzene2-T,0.428616982783566,1.7959399858824554e-05,4.1900812567413626e-05,5.962013023367574e-05,0.00020156549130358564,0.00026118562153726137
methane-trimer,1.3499898029091146,9.40067501703501e-06,6.963515573804591e-06,1.5417107027937414e-05,-3.2134301236653387e-05,-1.6717194208715972e-05
phenol-trimer,-1.8503126290620386,4.946645757164525e-05,-2.6734107952730568e-05,2.1709789311730225e-06,-0.0036267468344733066,-0.0036245758555421338
pyrazine-trimer,2.3644071288884074,-1.3642279090952947e-05,-5.769851953274507e-06,-2.237333770916283e-05,3.19064360063745e-05,9.53309829721167e-06
pyrodixine-aminopyridine2,9.921595052639589,-0.0001179890587804655,-1.1892146187630903e-05,-0.0001935020563999634,0.0001625680261864542,-3.0934030213509224e-05
pyrodixine2-aminopyridine,26.51857262628515,8.241141999443258e-05,3.107686871228754e-06,0.0001351547287908694,0.0002934391310693227,0.0004285938598601921
uracil-trimer,-7.430391700606533,2.9535817372305928e-05,-3.975001394596056e-06,1.496213787588241e-05,-0.00012264649299760955,-0.00010768435512172714
