Name,Spin_rat,CorrIE_OS,CorrIE_SS,CorrIE_SRS,IE_HF,IE_SRSMP2
adanine-thymine2,0.501498103086479,-0.0025719711386330336,-0.008858449465216325,-0.011430420603849358,-0.025623047214253347,-0.0370534678181027
ammonia-trimer,0.6894907828196264,-0.0018787018964341957,-0.00470641613962699,-0.006585118036061186,-0.008427633268247803,-0.015012751304308989
benzene2-HCN,0.4997834565696202,-0.0006076052608950833,-0.0020999094353682576,-0.0027075146962633407,-0.004256049708061482,-0.006963564404324823
benzene2-ammonia,1.0062831067726132,-0.0101476569042631,0,-0.0101476569042631,0.004176586577791852,-0.005971070326471248
benzene2-methane,0.9780798205934279,-0.0019042725775331216,-0.0033629137614460277,-0.0052671863389791495,0.0026154264180604514,-0.002651759920918698
benzene2-water,0.9134194772521215,-0.004224560837297451,-0.00798862833636973,-0.01221318917366718,0.001468592060575702,-0.010744597113091479
benzene-HCN2,0.6042234307885967,-0.002114627089693433,-0.0060450116865088934,-0.008159638776202327,-0.007454941851960939,-0.015614580628163264
benzene-T,0.9713719334976646,-0.004356103599417898,-0.007745929941949661,-0.01210203354136756,0.003997256343808431,-0.00810477719755913
benzene-ammonia2,0.8300162104298797,-0.0010040362061250242,-0.002089410223850854,-0.0030934464299758784,-0.001721132242892054,-0.004814578672867931
benzene-methane2,1.006331204255349,-0.006870792846609303,0,-0.006870792846609303,0.003934648495835802,-0.0029361443507735013
benzene-sandwich,0.958099839212008,-0.004034272826290768,-0.0072730305778577285,-0.011307303404148497,0.0031935952932826694,-0.008113708110865828
benzene-water2,0.7827573708609253,-0.001976695721052384,-0.004361878579738227,-0.006338574300790611,-0.0014095659010138206,-0.007748140201804431
ethene2-ethyne,0.6830823794234416,-0.0008810279687251655,-0.0022278068183048845,-0.00310883478703005,-0.0009384517871637854,-0.0040472865741938355
ethene-ethyne2,0.7094313244470027,-0.0009200126819089982,-0.002239981178509639,-0.003159993860418637,-0.000778291520433072,-0.003938285380851709
ethene-trimer,0.9334494153860895,-0.002140108251155524,-0.003960097413637905,-0.0061002056647934295,0.0030991598379728202,-0.003001045826820609
formamide-trimer,0.12301545192590146,-0.0004339990773551683,-0.006093826086406222,-0.00652782516376139,-0.03374602975068797,-0.040273854914449354
formicacid-trimer,-0.27978425434627174,0.0010226187395539366,-0.006313226823134352,-0.005290608083580416,-0.038540928581113576,-0.04383153666469399
indole-benzene2-S,0.9574938743719794,-0.009196875821654774,-0.016590720011945306,-0.02578759583360008,0.004779506913990872,-0.02100808891960921
indole-benzene2-T,0.969091080168775,-0.006315320187125977,-0.0112561972207172,-0.017571517407843178,0.0034433486525244916,-0.014128168755318686
methane-trimer,1.0561107804104868,-0.002808605385874243,0,-0.002808605385874243,0.002205789386735546,-0.0006028159991386972
phenol-trimer,0.6772198710773282,-0.0036395773763913965,-0.009282868104621604,-0.012922445481013001,-0.014775537837294905,-0.027697983318307903
pyrazine-trimer,1.0782616281900643,-0.02159308137435667,0,-0.02159308137435667,0.008261368052899343,-0.013331713321457328
pyrodixine2-aminopyridine,0.5478303174603181,-0.003801508694049858,-0.011985905271111808,-0.015787413965161666,-0.026501685579376044,-0.04228909954453771
pyrodixine-aminopyridine2,0.584682170320638,-0.0033443044556487433,-0.009879770875809173,-0.013224075331457917,-0.02316686118075495,-0.03639093651221287
uracil-trimer,0.0660762919061586,-0.0003970032840927207,-0.010377896904761836,-0.010774900188854557,-0.04199911751709351,-0.05277401770594807
