Name,IE_CP
adanine-thymine2_cam-b3lyp-d3.out,-0.041577515142989796
ammonia-trimer_cam-b3lyp-d3.out,-0.018620023452371015
benzene-HCN2_cam-b3lyp-d3.out,-0.017866831605175548
benzene-T_cam-b3lyp-d3.out,-0.008523080782254056
benzene-ammonia2_cam-b3lyp-d3.out,-0.00574743990446791
benzene-methane2_cam-b3lyp-d3.out,-0.004790872684274916
benzene-sandwich_cam-b3lyp-d3.out,-0.008550729330551121
benzene-water2_cam-b3lyp-d3.out,-0.010564891036239032
benzene2-HCN_cam-b3lyp-d3.out,-0.0076921734997199565
benzene2-ammonia_cam-b3lyp-d3.out,-0.008942259491789173
benzene2-methane_cam-b3lyp-d3.out,-0.003934347022266138
benzene2-water_cam-b3lyp-d3.out,-0.013279509212537732
ethene-ethyne2_cam-b3lyp-d3.out,-0.005046617970933198
ethene-trimer_cam-b3lyp-d3.out,-0.005413509285304485
ethene2-ethyne_cam-b3lyp-d3.out,-0.0052119936559194
formamide-trimer_cam-b3lyp-d3.out,-0.04837138919376116
formicacid-trimer_cam-b3lyp-d3.out,-0.05345050934406004
indole-benzene2-S_cam-b3lyp-d3.out,-0.020721216607284987
indole-benzene2-T_cam-b3lyp-d3.out,-0.014661247391074994
methane-trimer_cam-b3lyp-d3.out,-0.002304382651921344
phenol-trimer_cam-b3lyp-d3.out,-0.0330230937813667
pyrazine-trimer_cam-b3lyp-d3.out,-0.011785689184762305
pyrodixine-aminopyridine2_cam-b3lyp-d3.out,-0.04187586203670435
pyrodixine2-aminopyridine_cam-b3lyp-d3.out,-0.04788714213424328
uracil-trimer_cam-b3lyp-d3.out,-0.061637693388433945
